﻿Empenho 2023
Nota Empenho;Emissão;Unidade Gestora;Valor Final;
"2023NE00028";"02/02/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";15.614,00;
"2023NE00077";"10/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";0,00;
"2023NE00009";"24/01/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";25.000,00;
"2023NE00103";"21/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";351,84;
"2023NE00089";"16/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";186,40;
"2023NE00007";"23/01/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";80.000,00;
"2023NE00012";"27/01/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";2.999,32;
"2023NE00106";"27/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";183,98;
"2023NE00046";"24/02/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";235,20;
"2023NE00049";"27/02/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";957,30;
"2023NE00080";"14/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";673,20;
"2023NE00010";"24/01/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";90.750,00;
"2023NE00011";"24/01/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";146.800,00;
"2023NE00040";"22/02/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";0,00;
"2023NE00045";"22/02/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";1.243,50;
"2023NE00008";"24/01/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";25.000,00;
"2023NE00102";"21/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";257,00;
"2023NE00070";"08/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";800,00;
"2023NE00082";"14/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";2.244,40;
"2023NE00036";"22/02/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";3.576,00;
"2023NE00094";"17/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";67,55;
"2023NE00037";"22/02/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";100,00;
"2023NE00074";"09/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";3.200,00;
"2023NE00027";"02/02/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";152.137,02;
"2023NE00118";"24/04/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";196.512,00;
"2023NE00096";"20/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";1.041,00;
"2023NE00091";"17/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";0,00;
"2023NE00093";"17/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";5.035,00;
"2023NE00081";"14/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";570,00;
"2023NE00086";"16/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";251,28;
"2023NE00095";"17/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";640,00;
"2023NE00071";"08/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";2.800,00;
"2023NE00088";"16/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";2.245,60;
"2023NE00069";"08/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";3.000,00;
"2023NE00038";"22/02/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";7.542,00;
"2023NE00047";"24/02/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";116,48;
"2023NE00048";"24/02/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";2.670,00;
"2023NE00100";"21/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";118,00;
"2023NE00104";"21/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";30,00;
"2023NE00084";"14/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";1.765,00;
"2023NE00083";"14/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";6.290,10;
"2023NE00117";"30/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";296.433,75;
"2023NE00085";"15/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";51,60;
"2023NE00073";"08/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";1.180,00;
"2023NE00068";"07/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";3.411,00;
"2023NE00097";"20/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";540,60;
"2023NE00101";"21/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";111,94;
"2023NE00099";"20/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";8.880,00;
"2023NE00026";"02/02/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";3.348,00;
"2023NE00076";"09/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";150.624,00;
"2023NE00066";"07/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";0,00;
"2023NE00064";"07/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";0,00;
"2023NE00025";"01/02/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";17.571,39;
"2023NE00039";"22/02/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";655,00;
"2023NE00090";"16/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";496.992,00;
"2023NE00087";"16/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";90,24;
"2023NE00032";"08/02/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";279,00;
"2023NE00006";"20/01/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";850,50;
"2023NE00004";"20/01/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";0,00;
"2023NE00002";"20/01/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";0,00;
"2023NE00041";"22/02/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";1.979,88;
"2023NE00062";"06/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";225,00;
"2023NE00063";"06/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";4.480,00;
"2023NE00098";"20/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";696,99;
"2023NE00072";"08/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";6.708,00;
"2023NE00044";"22/02/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";1.545,00;
"2023NE00035";"22/02/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";0,00;
"2023NE00067";"07/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";20.000,00;
"2023NE00001";"13/01/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";7.313,63;
"2023NE00105";"27/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";183,98;
"2023NE00056";"28/02/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";0,00;
"2023NE00127";"27/04/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";24.028,70;
"2023NE00029";"06/02/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";1.736,00;
"2023NE00055";"28/02/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";29.054,26;
"2023NE00109";"29/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";167,76;
"2023NE00110";"29/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";108,00;
"2023NE00111";"29/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";14.720,00;
"2023NE00121";"27/04/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";167,76;
"2023NE00122";"27/04/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";328,00;
"2023NE00123";"27/04/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";14.720,00;
"2023NE00107";"29/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";115.609,98;
"2023NE00052";"28/02/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";167,76;
"2023NE00053";"28/02/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";361,00;
"2023NE00051";"28/02/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";781,52;
"2023NE00050";"28/02/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";116.563,31;
"2023NE00030";"06/02/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";843,63;
"2023NE00014";"27/01/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";180.079,98;
"2023NE00060";"28/02/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";10.888,00;
"2023NE00058";"28/02/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";1.918,64;
"2023NE00057";"28/02/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";221.121,93;
"2023NE00126";"27/04/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";3.172,11;
"2023NE00125";"27/04/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";205.262,11;
"2023NE00124";"27/04/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";29.792,15;
"2023NE00120";"27/04/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";1.157,23;
"2023NE00119";"27/04/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";119.541,65;
"2023NE00116";"29/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";23.587,00;
"2023NE00024";"27/01/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";11.938,66;
"2023NE00023";"27/01/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";26.746,39;
"2023NE00019";"27/01/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";11.745,00;
"2023NE00018";"27/01/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";3.230,62;
"2023NE00017";"27/01/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";104.932,98;
"2023NE00016";"27/01/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";1.809,60;
"2023NE00015";"27/01/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";8.995,69;
"2023NE00115";"29/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";104,53;
"2023NE00114";"29/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";3.290,39;
"2023NE00113";"29/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";208.302,63;
"2023NE00054";"28/02/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";14.720,00;
"2023NE00112";"29/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";28.838,16;
"2023NE00108";"29/03/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";752,59;
"2023NE00031";"06/02/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";567,51;
"2023NE00022";"27/01/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";13.410,92;
"2023NE00021";"27/01/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";218,00;
"2023NE00020";"27/01/2023";"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";167,76;
